,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
8317,7010 Indian Peaks Trail,"Boulder, CO 80301","Aug 13, 2020","$1,250,000","$1,225,500",Single Family Residential,1972,3624,4,4,Gunbarrel Green,Gunbarrel Green,"$5,411",Boulder Valley RE 2,2,2,,$100,"Cash, Conventional"
8318,3410 Quail Court,"Wheat Ridge, CO 80033","Feb 27, 2019","$1,129,950","$1,225,446",Single Family Residential,2017,4333,4,4,Quail Hollow,Quail Hollow,"$1,873",Jefferson County R-1,7,7,"Finished, Partial, Sump Pump",$336,Cash
8319,3505 Vale View Lane,"Mead, CO 80542","Sep 10, 2020","$1,225,000","$1,225,000",Single Family Residential,2001,5784,4,5,Vale View,Vale View,"$7,423",St. Vrain Valley RE-1J,3,3,"Daylight, Full, Walk-Out Access","$1,750","Cash, Conventional"
8320,3903 Divot Court,"Niwot, CO 80503","Sep 22, 2020","$1,325,000","$1,225,000",Single Family Residential,1996,5966,5,5,Lake Valley Estates,Lake Valley Estates,"$8,814",St. Vrain Valley RE-1J,3,3,"Full, Walk-Out Access",$560,"Cash, Conventional"
8321,3917 Vale View Lane,"Mead, CO 80542","May 08, 2020","$1,287,500","$1,225,000",Single Family Residential,2001,7083,5,6,Vale View,Vale View,"$6,087",St. Vrain Valley RE-1J,5,5,"Daylight, Full","$1,750","Cash, Conventional"
8322,1155 Orange Place,"Boulder, CO 80304","Jun 30, 2020","$1,195,000","$1,225,000",Single Family Residential,1986,2828,3,4,Forest Glen 2,Forest Glen 2,"$6,117",Boulder Valley RE 2,1,1,Full,$193,Conventional
8323,721 Cougar Drive,"Boulder, CO 80302","Mar 17, 2020","$1,299,900","$1,225,000",Single Family Residential,1992,4031,3,3,Pine Needle Notch,Pine Needle Notch,"$5,205",Boulder Valley RE 2,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
8324,610 S 5th Avenue,"Frisco, CO 80443","Apr 15, 2021","$1,225,000","$1,225,000",Single Family Residential,1990,1836,4,3,Summit County,Summit County,"$3,456",Summit RE-1,2,2,"Full, Finished",$86,Conventional
8325,1180 Orchard Street,"Golden, CO 80401","Apr 22, 2021","$1,295,000","$1,225,000",Single Family Residential,2015,2573,4,4,Lewis,Lewis,"$3,846",Jefferson County R-1,4,4,Crawl Space,,Conventional
8326,8468 Poppy Loop,"Arvada, CO 80007","Mar 02, 2021","$1,225,000","$1,225,000",Single Family Residential,2015,5696,6,5,Leyden Ranch,Leyden Ranch,"$6,557",Jefferson County R-1,3,3,"Crawl Space, Finished, Walk-Out Access",$85,Conventional
8327,565 Timber Lane,"Boulder, CO 80304","May 01, 2020","$1,225,000","$1,225,000",Single Family Residential,1968,3231,5,3,Pine Brook Hills,Pine Brook Hills,"$5,100",Boulder Valley RE 2,,,Walk-Out Access,$75,"Cash, Conventional, VA"
8328,15973 Burrowing Owl Court,"Morrison, CO 80465","Feb 25, 2021","$1,265,000","$1,225,000",Single Family Residential,2016,3421,5,4,Lyons Ridge,Lyons Ridge,"$9,151",Jefferson County R-1,3,3,"Finished, Walk-Out Access",,Conventional
8329,836 Monaco Parkway,"Denver, CO 80220","Mar 08, 2021","$1,250,000","$1,225,000",Single Family Residential,1936,4720,5,4,Montclair,Montclair,"$4,389",Denver 1,2,2,Partial,,Other
8330,10428 N County Road 7,"Wellington, CO 80549","Jun 27, 2018","$1,300,000","$1,225,000",Single Family Residential,1960,3995,5,6,,,,Poudre R-1,,,None,,"Cash, Conventional"
8331,605 Alpine Avenue,"Boulder, CO 80304","Oct 28, 2020","$1,250,000","$1,225,000",Single Family Residential,1953,2016,4,2,Newlands,Newlands,"$6,504",Boulder Valley RE 2,2,2,None,,
8332,2293 Picadilly Circle,"Longmont, CO 80503","Apr 01, 2019","$1,250,000","$1,225,000",Single Family Residential,2018,6960,5,7,Somerset Meadows,Somerset Meadows,"$1,956",St. Vrain Valley RE-1J,3,3,Full,$100,"Cash, Conventional, FHA, VA"
8333,1960 Vassar Drive,"Boulder, CO 80305","Nov 07, 2018","$1,225,000","$1,225,000",Single Family Residential,1976,3956,5,3,Table Mesa,Table Mesa,"$6,472",Boulder Valley RE 2,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
8334,433 Baxter Farm Lane,"Erie, CO 80516","Oct 15, 2019","$1,250,000","$1,225,000",Single Family Residential,2001,5344,5,5,Baxter Farms,Baxter Farms,"$10,300",Boulder Valley RE 2,4,4,"Daylight, Full",$65,"Cash, Conventional, FHA, VA"
8335,4605 Field Court,"Boulder, CO 80301","May 24, 2018","$1,225,000","$1,225,000",Single Family Residential,1970,4576,5,4,Island Green,Island Green,"$8,077",Boulder Valley RE 2,3,3,,,
8336,7261 Spring Creek Circle,"Niwot, CO 80503","Oct 12, 2018","$1,295,000","$1,225,000",Single Family Residential,1998,5810,4,5,Waterford Park,Waterford Park,"$7,495",St. Vrain Valley RE-1J,3,3,Full,$100,"Cash, Conventional"
8337,6333 Fall Harvest Way,"Fort Collins, CO 80528","Jun 11, 2019","$1,249,000","$1,225,000",Single Family Residential,2017,6426,6,6,Kechter Farm,Kechter Farm,"$6,280",Poudre R-1,3,3,"Daylight, Full, Sump Pump",$110,"Cash, Conventional"
8338,913 Tempted Ways Drive,"Longmont, CO 80504","Apr 01, 2021","$1,199,000","$1,225,000",Single Family Residential,2017,3908,7,5,Prospect,Prospect,"$5,709",St. Vrain Valley RE-1J,2,2,Full,$88,
8339,3920 Nelson Road,"Longmont, CO 80503","Jun 19, 2019","$1,450,000","$1,225,000",Single Family Residential,1995,1664,1,1,Foothills East,Foothills East,"$3,424",St. Vrain Valley RE-1J,1,1,None,,"Cash, Conventional"
8340,2465 20th Street,"Boulder, CO 80304","Oct 29, 2020","$1,200,000","$1,225,000",Multifamily,1900,2200,,,Widners North,Widners North,"$5,984",Boulder Valley RE 2,,,Full,,
8341,2909 4th Street,"Boulder, CO 80304","Jun 03, 2019","$1,250,000","$1,225,000",Single Family Residential,1951,1819,3,3,Newlands,Newlands,"$6,432",Boulder Valley RE 2,2,2,"Crawl Space, None",,"Cash, Conventional"
8342,2718 Pine Street Unit 303,"Boulder, CO 80302","Dec 24, 2020","$1,225,000","$1,225,000",Multifamily,2020,1516,,,Whittier,Whittier,,Boulder Valley RE 2,,,None,$532,
8343,835 Yellow Pine Avenue,"Boulder, CO 80304","Jul 26, 2019","$1,250,000","$1,225,000",Single Family Residential,2016,2982,4,4,Trailcrossing,Trailcrossing,"$5,394",Boulder Valley RE 2,2,2,Full,$160,"Cash, Conventional"
8344,1875 Ski Time Square Drive Unit 715,"Steamboat Springs, CO 80487","Jan 20, 2021","$1,200,000","$1,225,000",Condo,1998,1440,3,3,Creekside At Torians,Creekside At Torians,"$3,132",Steamboat Springs RE-2,2,2,,"$4,844",Cash
8345,1860 Gaylord Street,"Denver, CO 80206","Feb 08, 2021","$1,199,000","$1,225,000",Multifamily,1908,4121,,,Parkside,Parkside,"$5,190",Denver 1,,,Partial,,Conventional
8346,1860 Gaylord Street,"Denver, CO 80206","Feb 08, 2021","$1,199,000","$1,225,000",Single Family Residential,1908,4121,6,5,Parkside,Parkside,"$5,190",Denver 1,,,Partial,,Conventional
8347,2288 S Isabell Street,"Lakewood, CO 80228","Feb 05, 2021","$1,225,000","$1,225,000",Single Family Residential,2012,5681,5,5,Solterra,Solterra,"$9,937",Jefferson County R-1,3,3,"Finished, Sump Pump",$180,Conventional
8348,943 Rutherford Way,"Highlands Ranch, CO 80126","Jan 15, 2021","$1,200,000","$1,225,000",Single Family Residential,1998,5100,4,5,Highwoods,Highwoods,"$6,412",Douglas RE-1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$156,Conventional
8349,10500 W 8th Avenue,"Lakewood, CO 80215","Jan 18, 2021","$1,225,000","$1,225,000",Multifamily,1960,4620,,,,,"$7,076",,,,,,Conventional
8350,9817 Cantabria Point,"Lone Tree, CO 80124","Dec 11, 2020","$1,250,000","$1,225,000",Single Family Residential,2015,5078,4,4,Ridgegate Sec 15,Ridgegate Sec 15,"$8,502",Douglas RE-1,3,3,"Daylight, Finished, Walk-Out Access, Sump Pump",$210,Conventional
8351,457 Elm Street,"Denver, CO 80220","Nov 30, 2020","$1,250,000","$1,225,000",Single Family Residential,1941,2601,4,3,Hilltop,Hilltop,"$5,400",Denver 1,2,2,"Full, Finished",,Conventional
8352,9585 Silent Hills Lane,"Lone Tree, CO 80124","Sep 01, 2020","$1,250,000","$1,225,000",Single Family Residential,2011,6669,4,5,Heritage Hills,Heritage Hills,"$10,856",Douglas RE-1,3,3,"Full, Unfinished",$240,Conventional
8353,845 Mill Run Court,"Steamboat Springs, CO 80487","Jan 07, 2021","$1,249,000","$1,225,000",Multifamily,2020,3432,,,Fox Hunt,Fox Hunt,"$3,314",Steamboat Springs RE-2,2,2,"Daylight, Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
8354,9257 E 35th Avenue,"Denver, CO 80238","Oct 12, 2020","$1,195,000","$1,225,000",Single Family Residential,2011,4747,6,5,Central Park,Central Park,"$8,558",Denver 1,3,3,Full,$43,Cash
8355,2465 20th Street,"Boulder, CO 80304","Oct 29, 2020","$1,200,000","$1,225,000",Multifamily,1900,2200,,,Widners North,Widners North,"$5,984",Boulder Valley RE 2,4,4,"Daylight, Finished",,Conventional
8356,195 Gallagher Lane,"Fairplay, CO 80440","Dec 23, 2020","$1,272,000","$1,225,000",Single Family Residential,2016,3448,4,3,Gallagher Acres,Gallagher Acres,"$2,934",Park County RE-2,,,"Daylight, Finished, Walk-Out Access",,Conventional
8357,2008 S Lafayette Street,"Denver, CO 80210","Nov 10, 2020","$1,150,000","$1,225,000",Single Family Residential,2016,3444,5,4,University,University,"$4,906",Denver 1,2,2,"Full, Finished",,Conventional
8358,10764 Skydance Drive,"Highlands Ranch, CO 80126","Oct 23, 2020","$1,250,000","$1,225,000",Single Family Residential,2017,5300,5,4,Backcountry,Backcountry,"$5,539",Douglas RE-1,3,3,"Bath/Stubbed, Unfinished, Walk-Out Access, Sump Pump",$265,Conventional
8359,2423 W 41st Avenue,"Denver, CO 80211","Dec 04, 2020","$1,275,000","$1,225,000",Single Family Residential,2016,3750,6,5,Sunnyside,Sunnyside,"$5,011",Denver 1,2,2,Partial,,Conventional
8360,1283 York Street,"Denver, CO 80206","Mar 30, 2021","$1,275,000","$1,225,000",Single Family Residential,1898,4229,4,3,Cheesman Park,Cheesman Park,"$5,838",Denver 1,3,3,Partial,,Conventional
8361,2001 22nd Street,"Georgetown, CO 80444","Oct 30, 2020","$1,250,000","$1,225,000",Single Family Residential,2000,7283,5,5,Granger Division,Granger Division,"$3,307",Clear Creek RE-1,3,3,"Full, Finished, Interior Entry, Walk-Out Access",,Conventional
8362,5851 S Sheridan Boulevard,"Littleton, CO 80123","Dec 03, 2020","$1,199,500","$1,225,000",Single Family Residential,2000,5978,5,5,Grant Ranch,Grant Ranch,"$9,509",Jefferson County R-1,3,3,"Finished, Bath/Stubbed",$63,Conventional
8363,5220 Beeler Street,"Denver, CO 80238","Nov 06, 2020","$1,225,000","$1,225,000",Single Family Residential,2016,4372,6,5,Central Park,Central Park,"$9,095",Denver 1,3,3,Full,$43,Conventional
8364,43485 County Road 44,"Steamboat Springs, CO 80487","Jan 19, 2021","$1,395,000","$1,225,000",Single Family Residential,1937,2367,3,1,Cloven,Cloven,"$1,931",Steamboat Springs RE-2,6,6,Full,,Cash
8365,2080 Ash Street,"Denver, CO 80207","Nov 17, 2020","$1,250,000","$1,225,000",Single Family Residential,1912,3772,4,4,Park Hill,Park Hill,"$4,129",Denver 1,2,2,"Crawl Space, Partial, Bath/Stubbed",,Other
8366,6791-6797 S Race Street,"Centennial, CO 80122","Jan 06, 2021","$1,295,000","$1,225,000",Multifamily,1968,7896,,,Southglenn,Southglenn,"$4,414",Littleton 6,2,2,"Full, Unfinished",,Conventional
8367,23 Red Tail Drive,"Highlands Ranch, CO 80126","Jan 28, 2021","$1,299,500","$1,225,000",Single Family Residential,1991,6834,5,5,Falcon Hills,Falcon Hills,"$7,878",Douglas RE-1,3,3,Walk-Out Access,$156,Conventional
8368,6123 Buffalo Run,"Littleton, CO 80125","Mar 31, 2021","$1,249,000","$1,225,000",Single Family Residential,1999,5820,4,4,Roxborough Park,Roxborough Park,"$5,860",Douglas RE-1,9,9,"Finished, Walk-Out Access","$2,046",Conventional
8369,3317 W 33rd Avenue,"Denver, CO 80211","Sep 01, 2020","$1,199,900","$1,225,000",Single Family Residential,2018,2848,3,4,Highlands,Highlands,"$2,186",Denver 1,2,2,,,Conventional
8370,1452 S Pearl Street,"Denver, CO 80210","Sep 22, 2020","$1,295,000","$1,225,000",Multifamily,2014,3373,,,Platt Park,Platt Park,"$4,522",Denver 1,2,2,Full,,Other
8371,2412 N Gilpin Street,"Denver, CO 80205","Jan 21, 2021","$1,295,000","$1,225,000",Single Family Residential,2020,3532,4,4,Whittier,Whittier,"$6,686",Denver 1,2,2,Full,,Conventional
8372,228 Emerald Drive,"Castle Rock, CO 80104","Feb 05, 2021","$1,295,000","$1,225,000",Single Family Residential,2003,8686,5,6,Plum Creek,Plum Creek,"$4,991",Douglas RE-1,4,4,Finished,$25,Conventional
8373,155 Julie Lane,"Cotopaxi, CO 81223","Dec 21, 2020","$1,250,000","$1,225,000",Single Family Residential,1997,5856,3,4,Eagle Peak Ranch,Eagle Peak Ranch,"$3,153",Cotopaxi RE-3,3,3,"Unfinished, Walk-Out Access","$1,050",Cash
8374,25040 Longhorn Trail,"Ramah, CO 80832","Jul 30, 2020","$1,300,000","$1,225,000",Single Family Residential,2003,5500,5,5,,,"$2,801",Kiowa C-2,3,3,"Full, Finished, Walk-Out Access",,VA
8375,29556 Kirkwood Court,"Evergreen, CO 80439","Jul 01, 2020","$1,250,000","$1,225,000",Single Family Residential,1991,4286,4,4,Ridge At Hiwan,Ridge At Hiwan,"$6,126",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access",$250,Conventional
8376,722 Evening Star Drive,"Castle Rock, CO 80108","Sep 25, 2020","$1,274,999","$1,225,000",Single Family Residential,2000,6148,5,5,Castle Pines Village,Castle Pines Village,"$10,753",Douglas RE-1,3,3,"Full, Finished",$300,Conventional
8377,4440 Marigold Lane,"Littleton, CO 80123","Jun 15, 2020","$1,225,000","$1,225,000",Single Family Residential,1982,3935,4,4,Bow Mar South,Bow Mar South,"$6,327",Littleton 6,2,2,"Full, Finished","$1,600",Other
8378,721 Cougar Drive,"Boulder, CO 80302","Mar 17, 2020","$1,299,900","$1,225,000",Single Family Residential,1992,4031,3,3,Pine Needle Notch,Pine Needle Notch,"$5,205",Boulder Valley RE 2,2,2,"Exterior Entry, Full, Finished, Walk-Out Access",,Other
8379,153 Equinox Drive,"Castle Rock, CO 80108","Jun 05, 2020","$1,247,500","$1,225,000",Single Family Residential,1999,5145,4,4,The Village At Castle Pines,The Village At Castle Pines,"$11,859",Douglas RE-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$300,Conventional
8380,3917 Vale View Lane,"Mead, CO 80542","May 08, 2020","$1,287,500","$1,225,000",Single Family Residential,2001,7083,5,6,Vale View,Vale View,"$6,087",St. Vrain Valley RE-1J,5,5,"Full, Finished","$1,750",Cash
8381,3903 Divot Court,"Niwot, CO 80503","Sep 22, 2020","$1,325,000","$1,225,000",Single Family Residential,1996,5966,5,5,Lake Valley Estates,Lake Valley Estates,"$8,814",St. Vrain Valley RE-1J,3,3,"Full, Finished, Walk-Out Access",$560,Conventional
8382,2380 S Milwaukee Street,"Denver, CO 80210","Jul 24, 2020","$1,299,000","$1,225,000",Single Family Residential,1994,4478,5,5,University Park,University Park,"$6,043",Denver 1,2,2,"Full, Finished, Sump Pump",,Conventional
8383,2393 S Josephine Street,"Denver, CO 80210","Jun 05, 2020","$1,250,000","$1,225,000",Single Family Residential,2013,4416,4,6,Observatory Park,Observatory Park,"$7,398",Denver 1,2,2,"Daylight, Full, Finished",,Cash
8384,685 S Corona Street,"Denver, CO 80209","May 15, 2020","$1,250,000","$1,225,000",Single Family Residential,1921,3501,5,4,Washington Park West,Washington Park West,"$6,134",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
8385,29466 Targhee Lane,"Evergreen, CO 80439","Jul 10, 2020","$1,350,000","$1,225,000",Single Family Residential,1992,6563,5,5,The Ridge At Hiwan,The Ridge At Hiwan,"$6,187",Jefferson County R-1,3,3,"Finished, Walk-Out Access",$265,Cash
8386,15163 W 55th Drive,"Golden, CO 80403","Feb 12, 2020","$1,250,000","$1,225,000",Single Family Residential,2006,6837,6,6,Cottonwood Lane,Cottonwood Lane,"$5,998",Jefferson County R-1,3,3,"Full, Finished, Walk-Out Access, Sump Pump",,Conventional
8387,400 S Steele Street Unit 29,"Denver, CO 80209","Mar 18, 2020","$1,295,000","$1,225,000",Single Family Residential,1985,4710,4,4,Hyde Park,Hyde Park,"$6,004",Denver 1,2,2,"Full, Finished, Interior Entry, Bath/Stubbed",$340,Conventional
8388,12933 W 80th Place,"Arvada, CO 80005","Jun 11, 2020","$1,269,900","$1,225,000",Single Family Residential,2005,5955,5,5,Alkire Estates,Alkire Estates,"$6,771",Jefferson County R-1,3,3,"Finished, Sump Pump",$150,Conventional
8389,565 Timber Lane,"Boulder, CO 80304","May 01, 2020","$1,225,000","$1,225,000",Single Family Residential,1968,3231,5,3,Pine Brook Hills,Pine Brook Hills,"$5,100",Boulder Valley RE 2,,,"Exterior Entry, Full, Finished, Walk-Out Access",$75,Conventional
8390,3505 Vale View Lane,"Mead, CO 80542","Sep 10, 2020","$1,225,000","$1,225,000",Single Family Residential,2001,5784,4,5,Vale View,Vale View,"$6,869",St. Vrain Valley RE-1J,4,4,"Full, Finished, Walk-Out Access","$1,750",Conventional
8391,10700 Flowerburst Court,"Highlands Ranch, CO 80126","Jul 13, 2018","$1,275,000","$1,225,000",Single Family Residential,2013,5261,5,5,Backcountry,Backcountry,"$6,124",Douglas RE-1,3,3,"Full, Finished, Interior Entry, Sump Pump",$147,Conventional
8392,48 Sedgwick Drive,"Cherry Hills Village, CO 80113","Aug 31, 2018","$1,390,000","$1,225,000",Single Family Residential,1994,7515,5,5,Devonshire Heights,Devonshire Heights,"$13,228",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Walk-Out Access",$900,Conventional
8393,6036 Colorow Drive,"Morrison, CO 80465","Dec 10, 2018","$1,250,000","$1,225,000",Single Family Residential,1977,4589,6,4,Willowbrook,Willowbrook,"$4,858",Jefferson County R-1,2,2,"Daylight, Full, Finished",$350,Conventional
8394,935 E Logan Circle,"Greenwood Village, CO 80121","Apr 10, 2020","$1,600,000","$1,225,000",Single Family Residential,1978,4647,4,4,Greenwood Highlands 2nd Flg,Greenwood Highlands 2nd Flg,"$5,920",Cherry Creek 5,3,3,"Daylight, Finished, Partial",$900,FHA
8395,3360 S Cherry Street,"Denver, CO 80222","Apr 25, 2019","$1,250,000","$1,225,000",Single Family Residential,2018,6033,6,6,University Hills,University Hills,"$1,942",Denver 1,3,3,"Daylight, Full, Finished, Interior Entry",,Conventional
8396,891 14th Street Unit 3701,"Denver, CO 80202","Feb 06, 2020","$1,225,000","$1,225,000",Condo,2009,1670,2,3,Downtown,Downtown,"$6,668",Denver 1,2,2,,$743,Cash
8397,4520 Wolff Street,"Denver, CO 80212","Jan 28, 2020","$1,225,000","$1,225,000",Single Family Residential,2019,3395,4,4,Berkeley,Berkeley,"$2,013",Denver 1,3,3,Full,,Conventional
8398,2718 Pine Street Unit 303,"Boulder, CO 80302","Dec 24, 2020","$1,225,000","$1,225,000",Multifamily,2020,1516,,,Tbd,Tbd,,Boulder Valley RE 2,1,1,,$532,Cash
8399,8965 Big Canon Place,"Greenwood Village, CO 80111","Mar 12, 2020","$1,295,000","$1,225,000",Single Family Residential,1979,4810,4,4,Big Canon,Big Canon,"$5,345",Cherry Creek 5,3,3,"Full, Finished",$96,Conventional
8400,3456 S Clayton Boulevard,"Englewood, CO 80113","Jan 10, 2019","$1,300,000","$1,225,000",Single Family Residential,1952,8102,3,7,Cherry Hills Heights,Cherry Hills Heights,"$9,702",Cherry Creek 5,3,3,"Crawl Space, Full, Interior Entry, Unfinished",$44,Conventional
8401,991 Mt Rose Way,"Golden, CO 80401","Nov 28, 2018","$1,275,000","$1,225,000",Single Family Residential,1990,5680,5,4,Riva Chase,Riva Chase,"$10,725",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$100,Conventional
8402,15475 W Asbury Avenue,"Lakewood, CO 80228","Dec 04, 2019","$1,268,500","$1,225,000",Single Family Residential,2015,5819,5,6,Solterra,Solterra,"$9,906",Jefferson County R-1,3,3,"Full, Finished, Interior Entry, Sump Pump",$180,VA
8403,15475 W Asbury Avenue,"Lakewood, CO 80228","Dec 04, 2019","$1,268,500","$1,225,000",Single Family Residential,2015,5819,5,6,Solterra,Solterra,"$9,906",Jefferson County R-1,3,3,"Full, Finished, Interior Entry, Sump Pump",$180,VA
8404,5969 S Humboldt Court,"Centennial, CO 80121","Nov 22, 2019","$1,265,000","$1,225,000",Single Family Residential,2012,3229,3,4,Orchard Estates,Orchard Estates,"$8,058",Littleton 6,2,2,"Exterior Entry, Finished, Partial, Walk-Out Access",$75,Conventional
8405,828 S Columbine Street,"Denver, CO 80209","Jul 31, 2019","$1,350,000","$1,225,000",Single Family Residential,1938,3345,4,3,Bonnie Brae,Bonnie Brae,"$4,417",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
8406,30841 Clubhouse Lane,"Evergreen, CO 80439","Oct 11, 2019","$1,225,000","$1,225,000",Single Family Residential,1971,4672,4,6,Hiwan Estates & Fairways,Hiwan Estates & Fairways,"$7,103",Jefferson County R-1,3,3,"Crawl Space, Finished, Partial, Heated",$90,Conventional
